PMC Public Health Emergency collection,number of papers (2020-04-11),CC license,CC-BY,open government license,custom license (perpetual access via PMC),custom license (temporary access),custom license (other),unknown
American Chemical Society,34,-,-,-,-,34,-,-
AIP,22,18,18,-,-,-,-,4
BMJ,2,2,-,-,-,-,-,-
Cambridge University Press,42,7,7,-,34,-,-,1
Elsevier,16167,-,-,-,-,16071,-,96
IOP,35,-,-,-,-,35,-,-
Oxford University Press,1906,384,79,18,1206,-,237,61
Sage,7,7,7,-,-,-,-,-
Springer Nature,13706,2300,2194,-,-,11386,3,17
Taylor and Francis,114,31,19,-,83,-,-,-
