collection,pmcid,no_pmid,%
Elsevier,77217,14934,19.3
Springer Nature,69044,16934,24.5
Wiley,18645,1998,10.7
Oxford University Press,11369,2890,25.4
Wolters Kluwer,2284,69,3
Cambridge University Press,2254,157,7
BMJ,2073,76,3.7
Sage,899,238,26.5
Taylor & Francis,858,13,1.5
ACS,789,88,11.2
Karger,592,68,11.5
Thieme,357,76,21.3
American College of Physicians,300,0,0
NEJM,271,20,7.4
Radiological Society,228,0,0
AOSIS,200,13,6.5
AAAS,182,0,0
IEEE,79,1,1.3
JMIR,44,0,0
IOP,42,3,7.1
University of Toronto Press,24,24,100
ASME,22,0,0
